EventID;Title;Description;ImagePath;City;Latitude;Longitude;Date;Hour;Type
00001;Отдаване на почит към делото и героизма на войводата-поет Христо Ботев;;/images/events/event-00001.jpg;;;;2025-01-06;;country_wide
00002;Възстановка „Освобождението на гр. Харманли“;;/images/events/event-00002.jpg;Харманли;41.927511;25.905546;2025-01-20;;local_event
00003;Възстановка „Освобождението на гр. Търговище“;;/images/events/event-00003.jpg;Търговище;43.244962;26.574581;2025-01-27;;local_event
00004;Възстановка „Освобождението на гр. Добрич“;;/images/events/event-00004.jpg;Добрич;43.566700;27.833300;2025-01-27;;local_event
00005;Отдаване на почит към саможертвата на Апостола на свободата Васил Левски;;/images/events/event-00005.jpg;Цялата Страна;;;2025-02-19;;country_wide
00006;Отпразнуване на Освобождението на България от турско иго;;/images/events/event-00006.jpg;Цялата Страна;;;2025-03-03;;country_wide
00007;Възстановка „Освобождението на гр. Велики Преслав“;;/images/events/event-00007.jpg;Велики Преслав;43.063100;27.009700;2025-03-03;;local_event
00008;Възстановката „Заклеването на Оборищенските депутати 1876” в с. Баня–Панагюрско;;/images/events/event-00008.jpg;с. Баня, Панагюрско;42.466667;24.133333;2025-04-20;;local_event
00009;Възстановката „Мъжество и саможертва“ в гр. Панагюрище;;/images/events/event-00009.jpg;Панагюрище;42.503246;24.191987;2025-04-27;;local_event
00010;Възстановките „Априлско въстание 1876” в гр. Копривщица и гр. Клисура;;/images/events/event-00010.jpg;Копривщица/Клисура;42.832200;24.035800;2025-05-01;;local_event
00011;Възстановката „Последните пушки на Априлското въстание в габровският край“;;/images/events/event-00011.jpg;Габрово;42.872785;25.316813;2025-05-04;;local_event
00012;Възстановката „Севлиевско въстание“;;/images/events/event-00012.jpg;Севлиево;43.027200;25.099741;2025-05-11;;local_event
00013;Възстановката „Новоселската република“;;/images/events/event-00013.jpg;Априлци/Троян/Севлиево;42.887242;24.710214;2025-05-12;;local_event
00014;Възстановката „Битката при Дряновския манастир“;;/images/events/event-00014.jpg;Дряново;42.950681;25.431906;2025-05-11;;local_event
00015;Възстановката „Битката при с. Мусина“;;/images/events/event-00015.jpg;с. Мусина;43.154460;25.428858;2025-05;;local_event
00016;Възстановката „Априлското въстание в гр. Бяла Черква“;;/images/events/event-00016.jpg;Бяла Черква;43.206123;25.310234;2025-05-10;;local_event
00017;Отбелязване гибелта на войводата Христо Ботев в страната;;/images/events/event-00017.jpg;Цялата Страна;;;2025-06-02;;country_wide
00018;Възстановката „Рада Войвода“;;/images/events/event-00018.jpg;Дряново;42.9261;25.3842;2025-06-15;;local_event
00019;Тактическо занятие на територията на „45-та Механизирана бригада“;;/images/events/event-00019.jpg;;;;2025-06;;local_event
00020;Възстановката „Последната битка на четата на Хаджи Димитър“;;/images/events/event-00020.jpg;Казанлък;42.622369;25.389744;2025-07-20;;local_event
00021;Честване рождението на Апостола на свободата Васил Левски;;/images/events/event-00021.jpg;Цялата Страна;;;2025-07-18;;country_wide
00022;Битката при Нова Загора 1887 г.;;/images/events/event-00022.jpg;Нова Загора;42.493358;26.008162;2025-07;;local_event
00023;Възстановка „Канлъдере“;;/images/events/event-00023.jpg;Трявна;42.8824;25.4677;2025-07-13;;local_event
00024;Възстановка „Петрова нива“;;/images/events/event-00024.jpg;Нова Загора;42.493358;26.008162;2025-08-17;;local_event
00025;Възстановката „Хайдушки фестивал”;;/images/events/event-00025.jpg;Нова Загора;42.493358;26.008162;2025-08;;local_event
00026;Националната военноисторическа възстановка „Шипченска епопея 1877 г.”;;/images/events/event-00026.jpg;Казанлък/Априлци/Троян/Севлиево;;;2025-08;;national_event
00027;Военноисторическата възстановка „Отбраната на Каварна“;;/images/events/event-00027.jpg;Каварна;43.435743;28.338544;2025-08;;local_event
00028;Възстановка в с. Стоилово;;/images/events/event-00028.jpg;Нова Загора;42.493358;26.008162;2025-09-06;;local_event
00029;Честване на „Обявяване на независимостта на България 1908 г.”;;/images/events/event-00029.jpg;;;;2025-09-22;;country_wide
00030;Възстановките „Дойран“ и „ВСВ“ в гр. Казанлък на военен полигон;;/images/events/event-00030.jpg;Казанлък;42.622369;25.389744;2025-10-05;;local_event
00031;Възстановката „Освобождението на гр. Благоевград – 1912 г.“;;/images/events/event-00031.jpg;Blagoevgrad;42.015857;23.096071;2025-10;;local_event
00032;Възстановката „Сръбско–българската война 1885г.“ край Сливница;;/images/events/event-00032.jpg;Slivnitsa;42.853384;23.038000;2025-11-10;;national_event
00033;Изнасяне на беседи в училища и ВУЗ;;/images/events/placeholder.jpg;;;;;
00034;Организиране на изложби и експозиции с исторически военни предмети;;/images/events/event-00034.jpg;;;;;;
00035;Възстановяване и поддръжка на военни паметници;;/images/events/event-00035.jpg;;;;;;
