fixed_events
EventID;Title;Description;ImagePath;City;Latitude;Longitude;Date;Hour
1;Отдаване на почит към делото и героизма на войводата-поет Христо Ботев;;/images/events/event-00001.jpg;;;;2024-01-06;
2;Възстановка „Освобождението на гр. Харманли“;;/images/events/event-00002.jpg;Harmanli;41.927511;25.905546;2024-01-20;
3;Възстановка „Освобождението на гр. Търговище“;;/images/events/event-00003.jpg;Targovishte;43.244962;26.574581;2024-01-27;
4;Възстановка „Освобождението на гр. Добрич“;;/images/events/event-00004.jpg;Dobrich;43.566700;27.833300;2024-01-27;
5;Отдаване на почит към саможертвата на Апостола на свободата Васил Левски;;/images/events/event-00005.jpg;;;;2024-02-19;
6;Отпразнуване на Освобождението на България от турско иго;;/images/events/event-00006.jpg;;;;2024-03-03;
7;Възстановка „Освобождението на гр. Велики Преслав“;;/images/events/event-00007.jpg;Veliki Preslav;43.063100;27.009700;2024-03-03;
8;Възстановката „Заклеването на Оборищенските депутати 1876” в с. Баня–Панагюрско;;/images/events/event-00008.jpg;Banya;42.466667;24.133333;2024-04-20;
9;Възстановката „Мъжество и саможертва“ в гр. Панагюрище;;/images/events/event-00009.jpg;Panagyurishte;42.523800;24.148300;2024-04-27;
10;Възстановките „Априлско въстание 1876” в гр. Копривщица и гр. Клисура;;/images/events/event-00010.jpg;Koprivshtitsa/Klisura;42.832200;24.035800;2024-05-01;
11;Възстановката „Последните пушки на Априлското въстание в габровският край“;;/images/events/event-00011.jpg;Gabrovo;42.8746;25.3344;2024-05-04;
12;Възстановката „Севлиевско въстание“;;/images/events/event-00012.jpg;Sevlievo;42.8725;25.0797;2024-05-11;
13;Възстановката „Новоселската република“;;/images/events/event-00013.jpg;Apriltzi/Troyan/Sevlievo;;;2024-05-12;
14;Възстановката „Битката при Дряновския манастир“;;/images/events/event-00014.jpg;Dryanovo;42.9261;25.3842;2024-05-11;
15;Възстановката „Битката при с. Мусина“;;/images/events/event-00015.jpg;Musina;;;2024-05;
16;Възстановката „Априлското въстание в гр. Бяла Черква“;;/images/events/event-00016.jpg;Byala Cherkva;;;2024-05-10;
17;Отбелязване гибелта на войводата Христо Ботев в страната;;/images/events/event-00017.jpg;;;;2024-06-02;
18;Възстановката „Рада Войвода“;;/images/events/event-00018.jpg;Dryanovo;42.9261;25.3842;2024-06-15;
19;Тактическо занятие на територията на „45-та Механизирана бригада“;;/images/events/event-00019.jpg;;;;2024-06;
20;Възстановката „Последната битка на четата на Хаджи Димитър“;;/images/events/event-00020.jpg;Kazanlak;42.6298;25.3929;2024-07-20;
21;Честване рождението на Апостола на свободата Васил Левски;;/images/events/event-00021.jpg;;;;2024-07-18;
22;Битката при Нова Загора 1887 г.;;/images/events/event-00022.jpg;Nova Zagora;42.5364;25.7036;2024-07;
23;Възстановка „Канлъдере“;;/images/events/event-00023.jpg;Tryavna;42.8824;25.4677;2024-07-13;
24;Възстановка „Петрова нива“;;/images/events/event-00024.jpg;Nova Zagora;42.5364;25.7036;2024-08-17;
25;Възстановката „Хайдушки фестивал”;;/images/events/event-00025.jpg;Nova Zagora;42.5364;25.7036;2024-08;
26;Националната военноисторическа възстановка „Шипченска епопея 1877 г.”;;/images/events/event-00026.jpg;Kazanlak/Apriltsi/Troyan/Sevlievo;;;2024-08;
27;Военноисторическата възстановка „Отбраната на Каварна“;;/images/events/event-00027.jpg;Kavarna;43.4264;28.2769;2024-08;
28;Възстановка в с. Стоилово;;/images/events/event-00028.jpg;Nova Zagora;42.5364;25.7036;2024-09-06;
29;Честване на „Обявяване на независимостта на България 1908 г.”;;/images/events/event-00029.jpg;;;;2024-09-22;
30;Възстановките „Дойран“ и „ВСВ“ в гр. Казанлък на военен полигон;;/images/events/event-00030.jpg;Kazanlak;42.6298;25.3929;2024-10-05;
31;Възстановката „Освобождението на гр. Благоевград – 1912 г.“;;/images/events/event-00031.jpg;Blagoevgrad;42.0169;23.091;2024-10;
32;Възстановката „Сръбско–българската война 1885г.“ край Сливница;;/images/events/event-00032.jpg;Slivnitsa;42.8283;22.8017;2024-11-10;
33;Изнасяне на беседи в училища и ВУЗ;;/images/events/event-00033.jpg;;;;;
34;Организиране на изложби и експозиции с исторически военни предмети;;/images/events/event-00034.jpg;;;;;
35;Възстановяване и поддръжка на военни паметници;;/images/events/event-00035.jpg;;;;;
36;Установяване и поддържане на тесни връзки с местната и централна администрация;;/images/events/event-00036.jpg;;;;;
37;Изнасяне на беседи пред членовете на РК;;/images/events/event-00037.jpg;;;;;
38;Подпомагане на РК при организиране на чествания и възстановки;;/images/events/event-00038.jpg;;;;;
39;Постоянна работа по повишаване историческата достоверност;;/images/events/event-00039.jpg;;;;;
